Name, ATNF name, log10 Luminosity [erg/s], Characteristic Age [kyr], Distance [kpc]
Geminga, J0633+1746, 34.51, 342, 0.25
B0656+14, B0656+14, 34.58, 111, 0.29
CTA 1, J0007+7303, 35.65, 13.9, 1.4
J1858+020, J1857+0143, 35.65, 71.0, 5.8
J1834-087, B1830-08, 35.76, 147, 4.5
J1026-582, J1028-5819, 35.92, 90.0, 2.3
J1718-385, J1718-3825, 36.11, 89.5, 3.6
J1303-631, J1301-6305, 36.23, 11.0, 6.7
J1809-193 (2), J1809-1917, 36.26, 51.3, 3.5
J1804-216, B1800-21, 36.34, 15.8, 4.4
J1119-614, J1119-6127, 36.36, 1.61, 8.4
J1018-589, J1016-5857, 36.41, 21.0, 8.0
J1825-137, B1823-13, 36.45, 21.4, 3.9
J1908+063, J1907+0602, 36.45, 19.5, 3.2
J1356-645, J1357-6429, 36.49, 7.31, 2.5
J1708-443, B1706-44, 36.53, 17.5, 2.6
J1641-642, J1640-4631, 36.64, 3.35, 12.8
J1857+026, J1825+0.245, 36.66, 20.6, 9.0
J1418-609, J1418-6058, 36.69, 10.3, 5.0
J1837-069, J1838-0655, 36.74, 22.7, 6.6
J1809-193 (1), J1811-1925, 36.81, 23.3, 5.0
J0835-455, B0833-45, 36.84, 11.3, 0.3
J1846-029, J1846-0258, 36.91, 0.73, 5.8
J1849-000, J1849-0001, 36.99, 42.9, 7.0
J1420-607, J1420-6048, 37.00, 13.0, 5.6
J1023-575, J1023-5746, 37.04, 4.60, 8.0
J1930+188, J1930+1852, 37.08, 2.89, 7.0
J1616-508, J1617-5055, 37.20, 8.13, 6.8
J1514-591, B1509-58, 37.23, 1.56, 4.4
3C58, J0205+6449, 37.43, 5.37, 2.0
J1833-105, J1833-1034, 37.53, 4.85, 4.1
G0.9+01, J1747-2809, 37.63, 5.31, 13.3
J1813-178, 1813-1749, 37.75, 5.60, 4.7
Crab Nebula, B0531+21, 38.65, 1.26, 2.0
