Name, E_SN [1e50 erg], E_SN_err+, E_SN_err-, n_ISM [1e-2 cm-3], n_ISM_err+, n_ISM_err-
G38.7-1.3, 1.27, 1.45, 0.84, 1.32, 0.43, 0.31,
G67.7+1.8, 0.28, 0.54, 0.07, 3.5, 1.7, 2.2,
G78.2+2.1, 6.3, 5.8, 3.7, 5.4, 2.1, 1.9,
G85.4+0.7, 1.40, 1.42, 0.81, 1.36, 0.29, 0.17,
G89.0+4.7, 3.6, 1.8, 1.3, 0.71, 0.12, 0.09,
G109.1-1.0, 2.60, 0.60, 0.51, 35.6, 2.5, 2.1,
G116.9+0.2, 1.98, 0.55, 0.47, 17.5, 1.0, 0.9,
G156.2+5.7, 61, 48, 32, 20.4, 3.9, 2.6,
G160.9+2.6, 2.2, 1.1, 1.1, 0.47, 0.23, 0.10,
G260.4-3.4, 1.34, 0.45, 0.41, 0.35, 0.10, 0.07,
G296.8-0.3, 6.8, 1.6, 1.5, 2.23, 0.26, 0.27,
G308.4-1.4, 0.44, 0.22, 0.15, 16.0, 2.3, 2.2,
G309.2-0.6, 3.4, 2.8, 2.5, 0.21, 0.23, 0.15,
G322.1+0.0, 1.40, 3.65, 0.89, 5.0, 2.2, 1.4,
G330.2+1.0, 2.0, 13.3, 1.2, 3.2, 3.7, 1.6,
G332.4-0.4, 0.83, 0.55, 0.22, 110.0, 10, 7,
G337.8-0.1, 10.6, 12.4, 4.8, 5.7, 2.6, 1.8,
G347.3-0.5, 0.73, 0.80, 0.22, 6.8, 9.4, 3.8,
G348.5+0.1, 8.8, 7.0, 4.7, 21.6, 5.8, 5.6,
G348.7+0.3, 29, 13, 9, 5.1, 1.4, 0.9,
G349.7+0.2, 1.50, 0.74, 0.55, 343, 55, 56,
G350.1-0.3, 0.60, 0.34, 0.17, 428, 91, 75,
