t [yr], r [pc]
1.00, 0.01
1.28, 0.02
1.56, 0.02
1.84, 0.02
2.12, 0.03
2.40, 0.03
2.68, 0.03
2.96, 0.04
3.24, 0.04
3.51, 0.04
3.79, 0.05
4.07, 0.05
4.35, 0.05
4.63, 0.06
4.91, 0.06
5.19, 0.06
5.47, 0.07
5.75, 0.07
6.03, 0.07
6.31, 0.08
6.59, 0.08
6.87, 0.08
7.15, 0.09
7.43, 0.09
7.71, 0.09
7.98, 0.10
8.26, 0.10
8.54, 0.11
8.82, 0.11
9.10, 0.11
9.38, 0.12
9.66, 0.12
9.94, 0.12
10.22, 0.13
10.50, 0.13
10.78, 0.13
11.06, 0.14
11.34, 0.14
11.62, 0.14
11.90, 0.15
12.18, 0.15
12.45, 0.15
12.73, 0.16
13.01, 0.16
13.29, 0.16
13.57, 0.17
13.85, 0.17
14.13, 0.17
14.41, 0.18
14.69, 0.18
14.97, 0.18
15.25, 0.19
15.53, 0.19
15.81, 0.19
16.09, 0.20
16.37, 0.20
16.65, 0.20
16.92, 0.21
17.20, 0.21
17.48, 0.21
17.76, 0.22
18.04, 0.22
18.32, 0.22
18.60, 0.23
18.88, 0.23
19.16, 0.23
19.44, 0.24
19.72, 0.24
20.00, 0.24
20.28, 0.25
20.56, 0.25
20.84, 0.25
21.12, 0.26
21.39, 0.26
21.67, 0.26
21.95, 0.27
22.23, 0.27
22.51, 0.27
22.79, 0.28
23.07, 0.28
23.35, 0.28
23.63, 0.29
23.91, 0.29
24.19, 0.29
24.47, 0.30
24.75, 0.30
25.03, 0.31
25.31, 0.31
25.59, 0.31
25.86, 0.32
26.14, 0.32
26.42, 0.32
26.70, 0.33
26.98, 0.33
27.26, 0.33
27.54, 0.34
27.82, 0.34
28.10, 0.34
28.38, 0.35
28.66, 0.35
28.94, 0.35
29.22, 0.36
29.50, 0.36
29.78, 0.36
30.06, 0.37
30.33, 0.37
30.61, 0.37
30.89, 0.38
31.17, 0.38
31.45, 0.38
31.73, 0.39
32.01, 0.39
32.29, 0.39
32.57, 0.39
32.85, 0.40
33.13, 0.40
33.41, 0.40
33.69, 0.41
33.97, 0.41
34.25, 0.41
34.53, 0.42
34.80, 0.42
35.08, 0.42
35.36, 0.43
35.64, 0.43
35.92, 0.43
36.20, 0.44
36.48, 0.44
36.76, 0.44
37.04, 0.45
37.32, 0.45
37.60, 0.45
37.88, 0.46
38.16, 0.46
38.44, 0.46
38.72, 0.47
39.00, 0.47
39.27, 0.47
39.55, 0.48
39.83, 0.48
40.11, 0.48
40.39, 0.49
40.67, 0.49
40.95, 0.49
41.23, 0.50
41.51, 0.50
41.79, 0.50
42.07, 0.51
42.35, 0.51
42.63, 0.51
42.91, 0.52
43.19, 0.52
43.47, 0.52
43.74, 0.53
44.02, 0.53
44.30, 0.53
44.58, 0.54
44.86, 0.54
45.14, 0.54
45.42, 0.55
45.70, 0.55
45.98, 0.55
46.26, 0.56
46.54, 0.56
46.82, 0.56
47.10, 0.56
47.38, 0.57
47.66, 0.57
47.94, 0.57
48.21, 0.58
48.49, 0.58
48.77, 0.58
49.05, 0.59
49.33, 0.59
49.61, 0.59
49.89, 0.60
50.17, 0.60
50.45, 0.60
50.73, 0.61
51.01, 0.61
51.29, 0.61
51.57, 0.62
51.85, 0.62
52.13, 0.62
52.41, 0.63
52.69, 0.63
52.96, 0.63
53.24, 0.64
53.52, 0.64
53.80, 0.64
54.08, 0.64
54.36, 0.65
54.64, 0.65
54.92, 0.65
55.20, 0.66
55.48, 0.66
55.76, 0.66
56.04, 0.67
56.32, 0.67
56.60, 0.67
56.88, 0.68
57.16, 0.68
57.43, 0.68
57.71, 0.69
57.99, 0.69
58.27, 0.69
58.55, 0.70
58.83, 0.70
59.11, 0.70
59.39, 0.70
59.67, 0.71
59.95, 0.71
60.23, 0.71
60.51, 0.72
60.79, 0.72
61.07, 0.72
61.35, 0.73
61.63, 0.73
61.90, 0.73
62.18, 0.74
62.46, 0.74
62.74, 0.74
63.02, 0.74
63.30, 0.75
63.58, 0.75
63.86, 0.75
64.14, 0.76
64.42, 0.76
64.70, 0.76
64.98, 0.77
65.26, 0.77
65.54, 0.77
65.82, 0.78
66.10, 0.78
66.37, 0.78
66.65, 0.79
66.93, 0.79
67.21, 0.79
67.49, 0.79
67.77, 0.80
68.05, 0.80
68.33, 0.80
68.61, 0.81
68.89, 0.81
69.17, 0.81
69.45, 0.82
69.73, 0.82
70.01, 0.82
70.29, 0.82
70.57, 0.83
70.84, 0.83
71.12, 0.83
71.40, 0.84
71.68, 0.84
71.96, 0.84
72.24, 0.85
72.52, 0.85
72.80, 0.85
73.08, 0.86
73.36, 0.86
73.64, 0.86
73.92, 0.86
74.20, 0.87
74.48, 0.87
74.76, 0.87
75.04, 0.88
75.31, 0.88
75.59, 0.88
75.87, 0.89
76.15, 0.89
76.43, 0.89
76.71, 0.89
76.99, 0.90
77.27, 0.90
77.55, 0.90
77.83, 0.91
78.11, 0.91
78.39, 0.91
78.67, 0.92
78.95, 0.92
79.23, 0.92
79.51, 0.92
79.78, 0.93
80.06, 0.93
80.34, 0.93
80.62, 0.94
80.90, 0.94
81.18, 0.94
81.46, 0.95
81.74, 0.95
82.02, 0.95
82.30, 0.95
82.58, 0.96
82.86, 0.96
83.14, 0.96
83.42, 0.97
83.70, 0.97
83.98, 0.97
84.25, 0.97
84.53, 0.98
84.81, 0.98
85.09, 0.98
85.37, 0.99
85.65, 0.99
85.93, 0.99
86.21, 1.00
86.49, 1.00
86.77, 1.00
87.05, 1.00
87.33, 1.01
87.61, 1.01
87.89, 1.01
88.17, 1.02
88.45, 1.02
88.72, 1.02
89.00, 1.02
89.28, 1.03
89.56, 1.03
89.84, 1.03
90.12, 1.04
90.40, 1.04
90.68, 1.04
90.96, 1.04
91.24, 1.05
91.52, 1.05
91.80, 1.05
92.08, 1.06
92.36, 1.06
92.64, 1.06
92.92, 1.06
93.19, 1.07
93.47, 1.07
93.75, 1.07
94.03, 1.08
94.31, 1.08
94.59, 1.08
94.87, 1.08
95.15, 1.09
95.43, 1.09
95.71, 1.09
95.99, 1.10
96.27, 1.10
96.55, 1.10
96.83, 1.10
97.11, 1.11
97.39, 1.11
97.66, 1.11
97.94, 1.12
98.22, 1.12
98.50, 1.12
98.78, 1.12
99.06, 1.13
99.34, 1.13
99.62, 1.13
99.90, 1.14
100.18, 1.14
100.46, 1.14
100.74, 1.14
101.02, 1.15
101.30, 1.15
101.58, 1.15
101.86, 1.16
102.14, 1.16
102.41, 1.16
102.69, 1.16
102.97, 1.17
103.25, 1.17
103.53, 1.17
103.81, 1.18
104.09, 1.18
104.37, 1.18
104.65, 1.18
104.93, 1.19
105.21, 1.19
105.49, 1.19
105.77, 1.19
106.05, 1.20
106.33, 1.20
106.61, 1.20
106.88, 1.21
107.16, 1.21
107.44, 1.21
107.72, 1.21
108.00, 1.22
108.28, 1.22
108.56, 1.22
108.84, 1.22
109.12, 1.23
109.40, 1.23
109.68, 1.23
109.96, 1.24
110.24, 1.24
110.52, 1.24
110.80, 1.24
111.08, 1.25
111.35, 1.25
111.63, 1.25
111.91, 1.26
112.19, 1.26
112.47, 1.26
112.75, 1.26
113.03, 1.27
113.31, 1.27
113.59, 1.27
113.87, 1.27
114.15, 1.28
114.43, 1.28
114.71, 1.28
114.99, 1.28
115.27, 1.29
115.55, 1.29
115.82, 1.29
116.10, 1.30
116.38, 1.30
116.66, 1.30
116.94, 1.30
117.22, 1.31
117.50, 1.31
117.78, 1.31
118.06, 1.31
118.34, 1.32
118.62, 1.32
118.90, 1.32
119.18, 1.33
119.46, 1.33
119.74, 1.33
120.02, 1.33
120.29, 1.34
120.57, 1.34
120.85, 1.34
121.13, 1.34
121.41, 1.35
121.69, 1.35
121.97, 1.35
122.25, 1.35
122.53, 1.36
122.81, 1.36
123.09, 1.36
123.37, 1.36
123.65, 1.37
123.93, 1.37
124.21, 1.37
124.49, 1.38
124.76, 1.38
125.04, 1.38
125.32, 1.38
125.60, 1.39
125.88, 1.39
126.16, 1.39
126.44, 1.39
126.72, 1.40
127.00, 1.40
127.28, 1.40
127.56, 1.40
127.84, 1.41
128.12, 1.41
128.40, 1.41
128.68, 1.41
128.96, 1.42
129.23, 1.42
129.51, 1.42
129.79, 1.42
130.07, 1.43
130.35, 1.43
130.63, 1.43
130.91, 1.43
131.19, 1.44
131.47, 1.44
131.75, 1.44
132.03, 1.45
132.31, 1.45
132.59, 1.45
132.87, 1.45
133.15, 1.46
133.43, 1.46
133.70, 1.46
133.98, 1.46
134.26, 1.47
134.54, 1.47
134.82, 1.47
135.10, 1.47
135.38, 1.48
135.66, 1.48
135.94, 1.48
136.22, 1.48
136.50, 1.49
136.78, 1.49
137.06, 1.49
137.34, 1.49
137.62, 1.50
137.90, 1.50
138.17, 1.50
138.45, 1.50
138.73, 1.51
139.01, 1.51
139.29, 1.51
139.57, 1.51
139.85, 1.52
140.13, 1.52
140.41, 1.52
140.69, 1.52
140.97, 1.53
141.25, 1.53
141.53, 1.53
141.81, 1.53
142.09, 1.54
142.37, 1.54
142.64, 1.54
142.92, 1.54
143.20, 1.55
143.48, 1.55
143.76, 1.55
144.04, 1.55
144.32, 1.56
144.60, 1.56
144.88, 1.56
145.16, 1.56
145.44, 1.57
145.72, 1.57
146.00, 1.57
146.28, 1.57
146.56, 1.58
146.84, 1.58
147.11, 1.58
147.39, 1.58
147.67, 1.59
147.95, 1.59
148.23, 1.59
148.51, 1.59
148.79, 1.59
149.07, 1.60
149.35, 1.60
149.63, 1.60
149.91, 1.60
150.19, 1.61
150.47, 1.61
150.75, 1.61
151.03, 1.61
151.31, 1.62
151.58, 1.62
151.86, 1.62
152.14, 1.62
152.42, 1.63
152.70, 1.63
152.98, 1.63
153.26, 1.63
153.54, 1.64
153.82, 1.64
154.10, 1.64
154.38, 1.64
154.66, 1.65
154.94, 1.65
155.22, 1.65
155.50, 1.65
155.78, 1.66
156.06, 1.66
156.33, 1.66
156.61, 1.66
156.89, 1.66
157.17, 1.67
157.45, 1.67
157.73, 1.67
158.01, 1.67
158.29, 1.68
158.57, 1.68
158.85, 1.68
159.13, 1.68
159.41, 1.69
159.69, 1.69
159.97, 1.69
160.25, 1.69
160.53, 1.70
160.80, 1.70
161.08, 1.70
161.36, 1.70
161.64, 1.70
161.92, 1.71
162.20, 1.71
162.48, 1.71
162.76, 1.71
163.04, 1.72
163.32, 1.72
163.60, 1.72
163.88, 1.72
164.16, 1.73
164.44, 1.73
164.72, 1.73
165.00, 1.73
165.27, 1.73
165.55, 1.74
165.83, 1.74
166.11, 1.74
166.39, 1.74
166.67, 1.75
166.95, 1.75
167.23, 1.75
167.51, 1.75
167.79, 1.76
168.07, 1.76
168.35, 1.76
168.63, 1.76
168.91, 1.76
169.19, 1.77
169.47, 1.77
169.74, 1.77
170.02, 1.77
170.30, 1.78
170.58, 1.78
170.86, 1.78
171.14, 1.78
171.42, 1.78
171.70, 1.79
171.98, 1.79
172.26, 1.79
172.54, 1.79
172.82, 1.80
173.10, 1.80
173.38, 1.80
173.66, 1.80
173.94, 1.81
174.21, 1.81
174.49, 1.81
174.77, 1.81
175.05, 1.81
175.33, 1.82
175.61, 1.82
175.89, 1.82
176.17, 1.82
176.45, 1.83
176.73, 1.83
177.01, 1.83
177.29, 1.83
177.57, 1.83
177.85, 1.84
178.13, 1.84
178.41, 1.84
178.68, 1.84
178.96, 1.85
179.24, 1.85
179.52, 1.85
179.80, 1.85
180.08, 1.85
180.36, 1.86
180.64, 1.86
180.92, 1.86
181.20, 1.86
181.48, 1.87
181.76, 1.87
182.04, 1.87
182.32, 1.87
182.60, 1.87
182.88, 1.88
183.15, 1.88
183.43, 1.88
183.71, 1.88
183.99, 1.88
184.27, 1.89
184.55, 1.89
184.83, 1.89
185.11, 1.89
185.39, 1.90
185.67, 1.90
185.95, 1.90
186.23, 1.90
186.51, 1.90
186.79, 1.91
187.07, 1.91
187.35, 1.91
187.62, 1.91
187.90, 1.91
188.18, 1.92
188.46, 1.92
188.74, 1.92
189.02, 1.92
189.30, 1.93
189.58, 1.93
189.86, 1.93
190.14, 1.93
190.42, 1.93
190.70, 1.94
190.98, 1.94
191.26, 1.94
191.54, 1.94
191.82, 1.94
192.09, 1.95
192.37, 1.95
192.65, 1.95
192.93, 1.95
193.21, 1.96
193.49, 1.96
193.77, 1.96
194.05, 1.96
194.33, 1.96
194.61, 1.97
194.89, 1.97
195.17, 1.97
195.45, 1.97
195.73, 1.97
196.01, 1.98
196.29, 1.98
196.56, 1.98
196.84, 1.98
197.12, 1.98
197.40, 1.99
197.68, 1.99
197.96, 1.99
198.24, 1.99
198.52, 1.99
198.80, 2.00
199.08, 2.00
199.36, 2.00
199.64, 2.00
199.92, 2.01
200.20, 2.01
200.48, 2.01
200.76, 2.01
201.03, 2.01
201.31, 2.02
201.59, 2.02
201.87, 2.02
202.15, 2.02
202.43, 2.02
202.71, 2.03
202.99, 2.03
203.27, 2.03
203.55, 2.03
203.83, 2.03
204.11, 2.04
204.39, 2.04
204.67, 2.04
204.95, 2.04
205.23, 2.04
205.51, 2.05
205.78, 2.05
206.06, 2.05
206.34, 2.05
206.62, 2.05
206.90, 2.06
207.18, 2.06
207.46, 2.06
207.74, 2.06
208.02, 2.06
208.30, 2.07
208.58, 2.07
208.86, 2.07
209.14, 2.07
209.42, 2.07
209.70, 2.08
209.98, 2.08
210.25, 2.08
210.53, 2.08
210.81, 2.08
211.09, 2.09
211.37, 2.09
211.65, 2.09
211.93, 2.09
212.21, 2.09
212.49, 2.10
212.77, 2.10
213.05, 2.10
213.33, 2.10
213.61, 2.10
213.89, 2.11
214.17, 2.11
214.45, 2.11
214.72, 2.11
215.00, 2.11
215.28, 2.12
215.56, 2.12
215.84, 2.12
216.12, 2.12
216.40, 2.12
