Handmade catalog of Pulsars inside SNRs made by Igor Malov 2021.
PSR J, Period Now [s], dP/dt [10^15 s/s], Initial Period PO [ms], 
0007+7303, 0.32, 360.39, 187
0205+6449, 0.07, 193.75, 39
0501+4516, 5.76, 5820.00, 3417
0525-6607, 8.05, 65000.00, 4772 
0534+2200, 0.03, 420.97, 13
0538+2817, 0.14, 3.67, 85
0554+3107, 0.47, 142.60, 276
0633+0632, 0.30, 79.59, 176
0659+1414, 0.38, 54.94, 228
0821-4300, 0.11, 0.01, 67
0835-4510, 0.09, 125.01, 51
0855-4644, 0.06, 7.26, 38
1016-5857, 0.11, 80.83, 64
1101-6101, 0.06, 8.60, 37
1119-6127, 0.41, 4020.20, 136
1124-5916, 0.14, 752.57, 80
1210-5226, 0.42, 0.02, 251
1341-6220, 0.19, 253.11, 115
1400-6325, 0.03, 38.90, 19
1437-5959, 0.06, 8.59, 37
1513-5908, 0.15, 1531.50, 39
1522-5735, 0.10, 31.24, 61
1550-5418, 2.07, 23180.00, 1127 
1622-4950, 4.33, 2776.10, 2568
1632-4818, 0.81, 650.43, 482

1640-4631, 0.21, 976.00, 122
1646-4346, 0.23, 112.75, 137
1709-4429, 0.10, 92.99, 61
1714-3810, 3.82, 58800.00, 2268 
1726-3530, 1.11, 1216.80, 658
1731-4744, 0.83, 163.63, 492
1747-2809, 0.05, 155.57, 31
1801-2304, 0.42, 112.93, 247
1801-2451, 0.12, 127.91, 74
1803-2137, 0.13, 4290.00, 79
1808-2024, 7.56, 549000.00, 4481
1809-2332, 0.15, 34.42, 87
1811-1925, 0.06, 44.00, 38
1813-1749, 0.04, 126.55, 27
1833-1034, 0.06, 202.01, 32
1834-0845, 2.48, 7960.00, 1472
1841-0456, 11.79, 40920.00, 6991

1846-0258, 0.33, 7107.00, 114
1850-0006, 2.19, 4.32, 1300
1852+0040, 0.10, 0.01, 62
1856+0113, 0.27, 2.08, 159
1907+0602, 0.11, 86.82, 63
1907+0631, 0.32, 452.16, 192
1907+0919, 5.20, 92000.00, 3083
1930+1852, 0.14, 750.57, 81

1952+3252, 0.04, 5.84, 23
1957+2831, 0.31, 3.11, 182
2021+4026, 0.27, 54.68, 157
2022+3842, 0.05, 86.10, 29
2229+6114, 0.05, 78.27, 31
2301+5852, 6.89, 471.23, 4139
2337+6151, 0.50, 193.45, 294
