Handmade catalog of Pulsars outside SNRs from the ATNF
#, NAME, P0 (s), P1
1, J0002+6216, cwp+17, 0.1153635682680, 14, cwp+17, 5.96703E-15, 7, cwp+17 
2, J0006+1834, cnt96, 0.69374767047, 14, cn95, 2.097E-15, 12, cn95 
3, J0012+5431, dcm+23, 3.02530070997, 19, dcm+23, 1.28e-16, 0, dcm+23 
4, B0011+47, dth78, 1.240699038946, 11, hlk+04, 5.6446E-16, 14, hlk+04 
5, J0021-0909, clh+20, 2.31413082909, 17, clh+20, 1.039E-15, 17, clh+20 

6, J0023+0923, hrm+11, 0.003050203104754390, 4, aab+21a, 1.142345E-20, 14, aab+21a 
7, J0024-7204ab, phl+16, 0.0037046394947985, 6, frk+17, 9.820E-21, 9, frk+17 
8, B0021-72C, mld+90, 0.00575677999551635, 14, frk+17, -4.98503E-20, 20, frk+17 
9, B0021-72D, mlr+91, 0.00535757328486573, 9, frk+17, -3.4220E-21, 9, frk+17 
10, B0021-72E, mlr+91, 0.00353632915276244, 4, frk+17, 9.85103E-20, 6, frk+17 

11, B0021-72F, mlr+91, 0.00262357935251262, 4, frk+17, 6.45029E-20, 7, frk+17 
12, B0021-72G, rlm+95, 0.00404037914356515, 14, frk+17, -4.21584E-20, 17, frk+17 
13, B0021-72H, mlr+91, 0.00321034070935032, 11, frk+17, -1.8294E-21, 11, frk+17 
14, B0021-72I, mlr+91, 0.00348499206166289, 13, frk+17, -4.5874E-20, 3, frk+17 
15, B0021-72J, mlr+91, 0.00210063354535246, 5, frk+17, -9.7917E-21, 9, frk+17 

16, B0021-72L, rlm+95, 0.0043461679994616, 4, frk+17, -1.22045E-19, 4, frk+17 
17, B0021-72M, mlr+91, 0.0036766432176002, 3, frk+17, -3.8419E-20, 6, frk+17 
18, B0021-72N, rlm+95, 0.00305395434626085, 10, frk+17, -2.18570E-20, 19, frk+17 
19, J0024-7204O, clf+00, 0.00264334329724357, 5, frk+17, 3.03493E-20, 6, frk+17 
20, J0024-7204P, clf+00, 0.0036430207, 3, rft+16, 6.6E-19, 4, rft+16 

21, J0024-7204Q, clf+00, 0.00403318118457258, 15, frk+17, 3.4008E-20, 4, frk+17 
22, J0024-7204R, clf+00, 0.00348046270749329, 13, frk+17, 1.48352E-19, 3, frk+17 
23, J0024-7204S, clf+00, 0.00283040595787912, 8, frk+17, -1.205413E-19, 9, frk+17 
24, J0024-7204T, clf+00, 0.0075884798073671, 12, frk+17, 2.93805E-19, 12, frk+17 
25, J0024-7204U, clf+00, 0.00434282669639233, 12, frk+17, 9.52279E-20, 17, frk+17 

26, J0024-7204W, clf+00, 0.0023523445319370, 3, rft+16, -8.65526E-20, 12, rft+16 
27, J0024-7204X, fre08, 0.00477152291069356, 5, rft+16, 1.83610E-20, 7, rft+16 
28, J0024-7204Y, frk+17, 0.00219665714352123, 5, frk+17, -3.51721E-20, 10, frk+17 
29, J0024-7204Z, frk+17, 0.004554447383906, 3, frk+17, -4.54E-21, 7, frk+17 
30, J0026+6320, jml+09, 0.31835777079, 3, sjm+19, 1.506E-16, 6, sjm+19 

31, J0030+0451, lzb+00, 0.00486545321446896, 10, cpb+23, 1.0170E-20, 8, cpb+23 
32, J0034-0534, bhl+94, 0.0018771818845850, 2, aaa+10b, 4.966E-21, 1, aaa+10b 
33, B0031-07, lvw69a, 0.9429509945598, 17, hlk+04, 4.08210E-16, 7, hlk+04 
34, J0036-1033, sbs+21, 0.900009289, 3, sbs+21, 2.131E-16, 3, sbs+21 
35, J0038-2501, acd+19, 0.2569264575329, 17, acd+19, 0.0760E-17, 6, acd+19 

36, B0037+56, dtws85, 1.1182253452412, 13, hlk+04, 2.878973E-15, 12, hlk+04 
37, J0045-7042, mfl+06, 0.63233580002, 6, mfl+06, 2.49E-15, 3, mfl+06 
38, J0045-7319, mmh+91, 0.92627590497, 3, kbm+96, 4.4632E-15, 9, kbm+96 
39, B0045+33, dtws85, 1.217094296058, 8, hlk+04, 2.35454E-15, 6, hlk+04 
40, J0051+0423, snt97, 0.35473179890, 1, snt97, 7E-18, 2, snt97 

41, J0054+6946, slr+14, 0.832911328744, 5, lsk+18, 7.194E-16, 7, lsk+18 
42, B0052+51, dtws85, 2.115171148865, 4, hlk+04, 9.53764E-15, 4, hlk+04 
43, B0053+47, dtws85, 0.472036662076, 7, hlk+04, 3.32849E-15, 7, hlk+04 
44, J0057-7201, ckm+01, 0.7380624426, 2, ckm+01, 1.0E-16, 8, ckm+01 
45, J0058+4950, slr+14, 0.99602345227, 4, lsk+18, 8.04E-16, 20, lsk+18 

46, J0058-7218, met+21, 0.02176610763, 19, met+21, 2.9E-14, 3, met+21 
47, J0100-7211, lfmp02, 8.020392, 9, mgr+05, 1.88E-11, 8, mgr+05 
48, J0100+8023, scb+19, 1.4936009186, 2, tbc+20, 0.3543E-15, 6, tbc+20 
49, J0101-6422, kcj+12, 0.0025731519721683, 2, kcj+12, 5.16E-21, 3, kcj+12 
50, J0102+4839, hrm+11, 0.0029641124215882, 8, saa+23, 1.141E-20, 4, saa+23 

51, B0059+65, dbtb82, 1.679164229064, 12, hlk+04, 5.95492E-15, 9, hlk+04 
52, J0106+4855, pga+12, 0.0831573050050, 6, pga+12, 4.2792E-16, 5, pga+12 
53, J0107+1322, scb+19, 1.1973833938, 1, tbc+20, 0.687E-15, 3, tbc+20 
54, J0108-1431, tnj+94, 0.807564614019, 20, hlk+04, 7.704E-17, 12, hlk+04 
55, B0105+65, dls72, 1.2836598429, 5, hlk+04, 1.3051E-14, 3, hlk+04 

56, B0105+68, dtws85, 1.071118109859, 5, hlk+04, 4.809E-17, 4, hlk+04 
57, J0111+6624, slr+14, 4.3018721008, 4, lsk+18, 8.36E-15, 17, lsk+18 
58, J0111-7131, mfl+06, 0.68854151164, 5, mfl+06, 7.092E-15, 4, mfl+06 
59, J0113-7220, ckm+01, 0.32588301613, 1, ckm+01, 4.8590E-15, 15, ckm+01 
60, J0115+6325, scb+19, 0.521455427473, 5, mbc+20, 1.599E-15, 3, mbc+20 

61, B0114+58, stwd85, 0.1014390664824, 20, hlk+04, 5.849955E-15, 17, hlk+04 
62, J0122+1416, ttk+17, 1.38899395038, 2, mbc+20, 3.803E-15, 1, mbc+20 
63, J0125-2327, mbc+19, 0.003675374887568884, 14, cpb+23, 1.84160E-20, 14, cpb+23 
64, J0131-7310, mfl+06, 0.348124045581, 7, mfl+06, 1.7614E-15, 7, mfl+06 
65, J0133-6957, lml+98, 0.463473741703, 3, dsb+98, 1.200E-16, 2, dsb+98 

66, J0134-2937, mld+96, 0.136961610513651, 14, lwy+16, 7.83699E-17, 3, lwy+16 
67, J0137+1654, lxf+05, 0.4147630265082, 5, lxf+05, 0.01223E-15, 3, lxf+05 
68, J0137+6349, slr+14, 0.717962726847, 6, lsk+18, 9.60E-16, 5, lsk+18 
69, J0139+3336, ttm+18, 1.2479609557, 1, mbc+20, 2.064E-15, 8, mbc+20 
70, J0139+5621, cvh+14, 1.77534382596, 10, cvh+14, 7.9096E-14, 3, cvh+14 

71, B0136+57, dth78, 0.272450630950, 15, hlk+04, 1.071167E-14, 12, hlk+04 
72, B0138+59, mth72, 1.2229485205457, 18, hlk+04, 3.91070E-16, 14, hlk+04 
73, J0146+6145, ims94, 8.6889941, 4, dk14, 1.99E-12, 5, dk14 
74, B0144+59, stwd85, 0.19632137543003, 16, ywml10, 2.56763E-16, 8, ywml10 
75, B0148-06, mlt+78, 1.464664549334, 7, hlk+04, 4.4259E-16, 5, hlk+04 

76, J0152+0948, clm+05, 2.74664729014, 10, clm+05, 1.700E-15, 4, clm+05 
77, B0149-16, mlt+78, 0.8327416126878, 13, hlk+04, 1.299202E-15, 6, hlk+04 
78, J0154+1833, mgf+19, 0.0023645697763006, 5, mgf+19, 2.919E-21, 12, mgf+19 
79, B0153+39, dtws85, 1.81156061131, 10, hlk+04, 1.516E-16, 10, hlk+04 
80, B0154+61, dls72, 2.35174493646, 7, hlk+04, 1.889254E-13, 5, hlk+04 

81, J0201+7005, kkl+15, 1.349184471846, 10, kkl+15, 5.5144E-15, 15, kkl+15 
82, J0203-0150, mzl+23, 0.0051733218641960, 4, mzl+23, 1.4281E-20, 11, mzl+23 
83, B0203-40, mlt+78, 0.630551259569, 4, jbv+19, 1.1966E-15, 3, jbv+19 
84, J0209+5759, gac+21, 1.063906282526, 14, gac+21, 1.39190E-14, 14, gac+21 
85, J0210+5845, scb+19, 1.766208099, 2, tbc+20, 134.02E-15, 2, tbc+20 

86, J0211-8159, lml+98, 1.0773327013, 8, dsb+98, 2.9E-16, 2, dsb+98 
87, J0212+5222, bck+13, 0.3763863640606, 15, lsk+18, 6.5993E-15, 13, lsk+18 
88, J0214+5222, slr+14, 0.02457529479071, 22, slr+14, 2.99E-19, 10, slr+14 
89, J0215+6218, llc98, 0.548879819155, 3, hlk+04, 6.6212E-16, 3, hlk+04 
90, J0218+4232, nbf+95, 0.00232309053151224, 8, dcl+16, 7.73955E-20, 7, dcl+16 

91, J0227+3356, dcm+23, 1.240102460176, 4, dcm+23, 2.8515E-15, 11, dcm+23 
92, B0226+70, dtws85, 1.466820306152, 7, hlk+04, 3.10998E-15, 7, hlk+04 
93, J0248+4230, brj+21, 0.0026008347856317, 3, brj+21, 1.6873E-20, 5, brj+21 
94, J0248+6021, tpc+11, 0.217094, 5, tpc+11, 5.509E-14, 5, tpc+11 
95, J0250+5854, tbc+18, 23.535378476, 1, tbc+18, 2.716E-14, 7, tbc+18 

96, J0251+2606, cck+16, 0.0025415543469461, 3, drc+21, 7.572E-21, 8, drc+21 
97, B0254-53, lvw69b, 0.4477084731988, 3, jbv+19, 3.129E-17, 3, jbv+19 
98, J0302+2252, ttol16, 1.207164839778, 2, mbc+20, 8.25E-17, 1, mbc+20 
99, B0301+19, fss73, 1.387584446262, 3, hlk+04, 1.295235E-15, 20, hlk+04 
100, J0307+7443, hrm+11, 0.003156088688500, 3, saa+23, 1.726E-20, 10, saa+23 

101, J0312-0921, trr+21, 0.0037043355330862, 3, saa+23, 1.9723E-20, 6, saa+23 
102, J0318+0253, wlz+18, 0.0051898521745201, 14, wlc+21, 1.762E-20, 3, wlc+21 
103, B0320+39, dth78, 3.032071956385, 10, hlk+04, 6.3562E-16, 7, hlk+04 
104, J0324+5239, bck+13, 0.336620230291, 3, bck+13, 0.381E-15, 3, bck+13 
105, J0325+6744, slr+14, 1.364678767282, 15, lsk+18, 1.553E-15, 10, lsk+18 

106, J0329+1654, lxf+05, 0.893319660649, 1, lxf+05, 0.21525E-15, 6, lxf+05 
107, B0329+54, cp68, 0.714519699726, 4, hlk+04, 2.048265E-15, 8, hlk+04 
108, B0331+45, dtws85, 0.26920054092953, 13, hlk+04, 7.3505E-18, 10, hlk+04 
