t [yr], r [pc]
1.00, 0.01
2.31, 0.01
3.63, 0.02
4.94, 0.03
6.26, 0.04
7.57, 0.05
8.89, 0.06
10.20, 0.07
11.52, 0.07
12.83, 0.08
14.15, 0.09
15.46, 0.10
16.77, 0.11
18.09, 0.12
19.40, 0.12
20.72, 0.13
22.03, 0.14
23.35, 0.15
24.66, 0.16
25.98, 0.17
27.29, 0.17
28.61, 0.18
29.92, 0.19
31.24, 0.20
32.55, 0.21
33.86, 0.22
35.18, 0.22
36.49, 0.23
37.81, 0.24
39.12, 0.25
40.44, 0.26
41.75, 0.27
43.07, 0.28
44.38, 0.28
45.70, 0.29
47.01, 0.30
48.32, 0.31
49.64, 0.32
50.95, 0.33
52.27, 0.33
53.58, 0.34
54.90, 0.35
56.21, 0.36
57.53, 0.37
58.84, 0.38
60.16, 0.38
61.47, 0.39
62.78, 0.40
64.10, 0.41
65.41, 0.42
66.73, 0.43
68.04, 0.43
69.36, 0.44
70.67, 0.45
71.99, 0.46
73.30, 0.47
74.62, 0.48
75.93, 0.48
77.25, 0.49
78.56, 0.50
79.87, 0.51
81.19, 0.52
82.50, 0.52
83.82, 0.53
85.13, 0.54
86.45, 0.55
87.76, 0.56
89.08, 0.57
90.39, 0.57
91.71, 0.58
93.02, 0.59
94.33, 0.60
95.65, 0.61
96.96, 0.62
98.28, 0.62
99.59, 0.63
100.91, 0.64
102.22, 0.65
103.54, 0.66
104.85, 0.67
106.17, 0.67
107.48, 0.68
108.79, 0.69
110.11, 0.70
111.42, 0.71
112.74, 0.71
114.05, 0.72
115.37, 0.73
116.68, 0.74
118.00, 0.75
119.31, 0.76
120.63, 0.76
121.94, 0.77
123.26, 0.78
124.57, 0.79
125.88, 0.80
127.20, 0.80
128.51, 0.81
129.83, 0.82
131.14, 0.83
132.46, 0.84
133.77, 0.85
135.09, 0.85
136.40, 0.86
137.72, 0.87
139.03, 0.88
140.34, 0.89
141.66, 0.89
142.97, 0.90
144.29, 0.91
145.60, 0.92
146.92, 0.93
148.23, 0.93
149.55, 0.94
